cosine_gt,min_shared,flagged_m,hits_x,precision_pct,expected_EX,fold_enrichment,hypergeom_p
0.85,10,141,17,12.1,1.21,14.0,1.9185390239517573e-15
0.85,15,123,16,13.0,1.05,15.0,4.120691246490738e-15
0.85,20,106,16,15.1,0.91,18.0,3.5886922974675193e-16
0.88,10,91,15,16.5,0.78,19.0,8.317095989344127e-16
0.88,15,81,14,17.3,0.69,20.0,4.115953986375437e-15
0.88,20,69,14,20.3,0.59,24.0,3.7811094635998434e-16
0.9,10,58,11,19.0,0.5,22.0,1.4930349488155193e-12
0.9,15,52,10,19.2,0.45,22.0,1.4253528363597281e-11
0.9,20,44,10,22.7,0.38,27.0,2.3618433633279895e-12
0.92,10,32,7,21.9,0.27,26.0,7.3802244175572734e-09
0.92,15,28,6,21.4,0.24,25.0,1.0634335380585648e-07
0.92,20,25,6,24.0,0.21,28.0,5.1023950925286217e-08
